Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Hannibal Mejbri,Midfielder,5,0,0,3,100%,0,0,0,0,0,0,10,13,16,2,2,4,0,0,0,37,7.4,0,1,0%,2,2,1,0,5,1,1,0,1,0,0,0.2,0,0,1,1,100%,0,0,0,0,0,0,0,0,0
Teden Mengi,Defender,30,1,59,54,41%,1,0,57,136,67,2,126,128,95,7,60,43,0,0,0,925,30.8,0,2,0%,1,70,3,0,35,1,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Chris Mepham,Defender,10,0,16,12,92%,0,0,7,29,18,0,31,43,42,0,30,20,0,0,1,354,35.4,1,1,0%,0,25,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
James Milner,Midfielder,15,0,0,20,70%,0,2,8,13,5,0,45,33,38,3,6,13,0,0,2,500,33.3,2,29,28%,4,19,3,0,10,3,0,0,0,0,1,0,0,0,5,1,20%,0,0,0,0,0,0,0,0,0
Tyrick Mitchell,Defender,37,10,55,105,57%,1,4,25,87,30,2,208,160,108,18,21,26,0,0,3,1205,32.6,5,69,25%,1,35,6,0,22,1,2,0,0,2,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Kaoru Mitoma,Midfielder,19,0,0,13,0%,0,8,5,11,4,0,0,0,0,0,0,0,0,0,4,597,31.4,6,44,0%,0,0,4,0,14,7,3,1,2,0,0,0.2,0,0,34,15,44%,6,0,0,0,0,0,0,0,0
Jakub Moder,Midfielder,17,0,0,19,53%,0,4,2,12,5,0,40,33,33,6,3,5,0,0,0,289,17,2,6,0%,1,3,2,0,8,2,0,0,0,0,0,0,0,0,11,3,27%,1,0,0,0,0,0,0,0,0
Mohamed Salah,Forward,32,0,0,17,0%,0,24,2,1,1,0,0,0,0,0,0,0,0,0,10,935,29.2,22,41,0%,0,0,2,0,12,17,18,2,2,14,2,0.6,5,0,114,56,49%,17,0,0,0,0,0,0,0,0
Moisés Caicedo,Midfielder,35,0,0,91,51%,0,5,37,33,16,0,200,196,153,26,31,32,0,1,3,2097,59.9,4,10,0%,12,88,11,0,50,0,1,0,1,0,0,0,0,0,13,4,31%,0,0,0,0,0,0,0,0,0
Gonzalo Montiel,Defender,14,0,11,22,86%,0,2,9,30,20,0,42,36,30,1,12,9,0,1,2,318,22.7,4,16,6%,1,14,5,0,6,2,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Kieffer Moore,Forward,8,0,0,0,0%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,1,2,0%,0,0,0,0,5,0,1,1,0,0,0,0.1,0,0,6,2,33%,2,0,0,0,0,0,0,0,0
Álex Moreno,Defender,21,2,20,18,67%,0,1,13,33,18,0,40,53,50,15,4,10,1,0,0,407,19.4,1,37,11%,0,13,2,0,11,2,2,1,0,1,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Carlton Morris,Forward,38,0,0,15,0%,0,12,1,53,42,0,0,0,0,0,0,0,0,0,4,718,18.9,5,15,0%,0,0,4,0,49,9,11,2,9,0,4,0.3,5,0,71,31,44%,7,0,0,0,0,0,0,0,0
Mason Mount,Midfielder,14,0,0,22,64%,0,3,6,3,1,0,37,41,41,4,6,9,0,0,0,203,14.5,0,14,29%,1,6,2,0,10,0,1,0,0,1,0,0.1,0,0,5,1,20%,0,0,0,0,0,0,0,0,0
Pelly Ruddock Mpanzu,Midfielder,27,0,0,13,38%,0,4,9,16,10,0,54,48,54,9,12,19,0,2,0,343,12.7,1,11,27%,0,16,1,0,9,0,0,0,0,0,0,0,0,0,11,1,9%,1,0,0,0,0,0,0,0,0
Divin Mubama,Forward,5,0,0,0,0%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4.4,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0%,0,0,0,0,0,0,0,0,0
Mykhailo Mudryk,Midfielder,31,0,0,21,57%,0,7,9,6,3,0,50,94,110,39,7,14,0,0,2,477,15.4,6,78,19%,5,14,5,0,22,1,5,0,3,2,1,0.2,0,0,35,12,34%,4,0,0,0,0,0,0,0,0
Daniel Muñoz,Defender,16,4,22,55,64%,1,3,24,34,14,0,76,102,95,13,26,28,0,0,4,566,35.4,5,11,9%,0,9,4,0,30,8,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Arijanet Muric,Goalkeeper,10,0,16,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,526,52.6,0,0,0%,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,64,1,4,19,0,17,54,33
Murillo,Defender,32,3,56,50,62%,3,1,37,185,78,3,146,115,121,20,38,40,1,0,2,1444,45.1,2,4,25%,6,117,5,0,38,0,0,0,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Vitalii Mykolenko,Defender,28,9,37,69,55%,0,11,36,82,37,1,142,126,97,18,30,27,0,0,0,882,31.5,2,56,23%,2,54,1,0,23,1,2,1,1,0,2,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Marvelous Nakamba,Midfielder,13,0,0,40,60%,0,1,11,11,4,0,90,56,57,3,4,7,0,0,0,415,31.9,0,4,25%,0,19,5,0,24,0,0,0,0,0,0,0,0,0,5,0,0%,0,0,0,0,0,0,0,0,0
Reiss Nelson,Forward,15,0,0,9,67%,0,2,1,5,1,0,22,16,22,1,0,5,0,0,0,127,8.5,1,14,21%,0,2,1,0,5,0,0,0,0,0,0,0,0,0,4,1,25%,0,0,0,0,0,0,0,0,0
Nélson Semedo,Defender,36,4,60,79,61%,0,7,36,78,35,0,188,182,166,51,22,28,0,0,1,1516,42.1,2,80,16%,2,48,11,1,48,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Neto,Goalkeeper,32,7,55,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,902,28.2,0,0,0%,0,188,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,115,1,26,20,4,16,154,223
Moussa Niakhaté,Defender,21,1,35,42,60%,0,2,14,49,23,1,98,64,24,3,16,5,0,0,0,688,32.8,0,11,9%,0,31,3,1,11,0,1,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Eddie Nketiah,Forward,27,0,0,12,0%,0,8,4,4,4,0,0,0,0,0,0,0,0,0,2,209,7.7,2,5,0%,0,0,3,0,24,8,5,0,5,0,2,0.2,0,0,38,12,32%,4,0,0,0,0,0,0,0,0
Christopher Nkunku,Forward,11,0,0,5,0%,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,177,16.1,0,4,0%,0,0,0,0,8,3,3,1,1,1,0,0.3,0,0,16,9,56%,3,0,0,0,0,0,0,0,0
Rhys Norrington-Davies,Defender,5,0,6,1,100%,0,0,1,2,1,0,4,4,7,1,1,1,0,0,0,54,10.8,0,2,0%,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Oliver Norwood,Midfielder,27,0,0,41,63%,0,4,21,36,14,0,98,65,63,1,14,17,0,0,0,855,31.7,1,52,31%,2,68,8,0,15,0,1,0,1,0,0,0,1,0,15,6,40%,0,0,0,0,0,0,0,0,0
Darwin Núñez,Forward,36,0,0,22,0%,0,22,3,9,9,0,0,0,0,0,0,0,0,0,8,465,12.9,11,19,0%,0,0,9,0,28,33,11,2,7,2,9,0.3,0,0,108,46,43%,27,0,0,0,0,0,0,0,0
Nuno Tavares,Defender,8,1,9,11,64%,0,0,1,15,9,0,33,22,18,6,3,2,0,0,0,218,27.3,0,16,13%,0,5,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Christian Nørgaard,Midfielder,31,0,0,81,62%,0,12,54,49,33,0,216,159,159,6,41,47,0,0,1,1441,46.5,6,22,27%,8,60,8,0,41,1,2,2,0,0,0,0.1,0,0,35,7,20%,3,0,0,0,0,0,0,0,0
Dara O Shea,Defender,33,1,71,39,51%,1,3,35,158,87,1,140,182,120,1,127,68,1,0,4,1732,52.5,3,11,27%,3,110,5,1,36,1,3,3,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Wilson Odobert,Forward,29,0,0,17,0%,0,16,6,12,3,0,0,0,0,0,0,0,0,0,2,545,18.8,7,35,0%,0,0,3,0,9,1,3,0,2,1,0,0.1,0,0,49,14,29%,2,0,0,0,0,0,0,0,0
Chiedozie Ogbene,Forward,30,0,0,17,0%,0,17,7,31,17,0,0,0,0,0,0,0,0,0,1,627,20.9,5,79,0%,0,0,1,0,8,8,4,1,3,0,1,0.1,0,0,35,14,40%,1,0,0,0,0,0,0,0,0
Angelo Ogbonna,Defender,11,2,14,11,45%,0,0,3,29,14,0,10,27,9,1,12,7,0,0,0,214,19.5,0,0,0%,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Michael Olakigbe,Forward,8,0,0,3,0%,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,7,0%,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,1,33%,0,0,0,0,0,0,0,0,0
Michael Olise,Midfielder,19,0,0,19,53%,0,21,11,9,3,0,68,109,110,40,7,15,0,0,6,609,32.1,9,97,26%,7,25,0,0,13,2,10,1,0,9,0,0.5,1,0,57,21,37%,3,0,0,0,0,0,0,0,0
Robin Olsen,Goalkeeper,5,0,13,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,36.8,0,0,0%,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,21,1,1,5,3,0,19,27
Andrew Omobamidele,Defender,11,0,15,10,30%,0,1,13,42,24,1,21,20,19,0,8,10,1,1,0,309,28.1,0,0,0%,0,13,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Amadou Onana,Midfielder,30,0,0,71,54%,0,8,21,30,16,0,160,180,93,12,53,19,0,0,0,1023,34.1,4,3,33%,6,61,5,0,37,1,2,2,0,0,0,0.1,0,0,29,6,21%,1,0,0,0,0,0,0,0,0
Fred Onyedinma,Midfielder,8,0,0,10,60%,0,1,1,13,7,0,10,26,41,2,8,6,0,0,0,85,10.6,0,13,8%,0,0,1,0,10,0,0,0,0,0,0,0,0,0,5,2,40%,0,0,0,0,0,0,0,0,0
Frank Onyeka,Midfielder,26,0,0,37,65%,0,8,23,17,7,0,73,89,86,11,10,23,0,0,2,375,14.4,2,16,31%,2,14,8,0,24,4,1,0,1,0,0,0,0,0,22,9,41%,2,0,0,0,0,0,0,0,0
Divock Origi,Forward,20,0,0,6,0%,0,4,2,2,1,0,0,0,0,0,0,0,0,0,1,131,6.6,5,13,0%,0,0,1,0,14,5,0,0,0,0,0,0,0,0,14,4,29%,4,0,0,0,0,0,0,0,0
Stefan Ortega,Goalkeeper,9,1,7,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,26.9,0,0,0%,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,20,0,1,6,0,4,24,19
Ben Osborn,Midfielder,24,0,0,22,41%,0,3,8,26,13,0,80,44,55,7,6,22,0,0,2,506,21.1,1,47,21%,1,23,3,0,8,1,0,0,0,0,0,0,0,0,4,0,0%,0,0,0,0,0,0,0,0,0
Gabriel Osho,Defender,21,2,47,41,54%,0,1,31,88,41,0,103,98,84,7,37,37,0,0,0,705,33.6,0,3,33%,0,27,3,0,23,1,2,2,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
William Osula,Forward,21,0,0,2,0%,0,6,2,9,3,0,0,0,0,0,0,0,0,0,0,90,4.3,1,2,0%,0,0,4,0,15,6,0,0,0,0,0,0,0,0,21,8,38%,2,0,0,0,0,0,0,0,0
